study_hours,attendance,result
6.5,65.9,1
6.5,100.0,1
2.5,83.1,0
2.5,89.9,0
3.5,81.2,0
3.5,45.2,0
3.5,75.0,0
6.0,91.4,1
6.0,93.2,1
2.0,99.1,0
6.5,76.5,1
9.0,85.1,1
4.5,98.1,1
7.0,62.4,1
7.0,82.4,1
4.5,97.6,1
4.0,69.1,0
2.5,66.0,0
0.0,57.3,0
5.0,64.9,0
0.0,61.9,0
1.0,77.4,0
9.0,78.2,1
3.5,76.1,0
5.0,76.2,0
3.5,76.8,0
3.0,91.8,1
5.0,68.1,0
4.5,71.0,0
7.0,98.0,1
4.0,73.4,0
3.0,62.8,0
5.5,76.5,1
8.5,84.5,1
4.5,100.0,1
9.0,76.6,1
7.5,69.4,1
1.0,79.7,0
4.0,78.4,1
7.0,88.5,1
6.0,47.3,1
4.0,77.6,0
7.0,80.9,1
4.0,99.4,1
5.0,57.2,0
3.0,81.7,0
7.0,94.4,1
6.5,58.1,1
3.5,100.0,1
1.0,75.1,0
2.5,89.2,0
1.5,71.1,0
5.0,88.4,1
6.5,78.9,1
5.5,67.7,1
5.0,61.7,0
6.5,47.4,1
8.5,95.8,1
5.0,73.4,1
3.0,77.2,0
6.0,83.5,1
3.5,79.4,0
4.0,94.7,1
1.0,84.2,0
3.0,91.5,1
4.5,81.4,1
3.5,82.7,0
5.5,56.9,0
5.5,69.4,1
2.0,72.1,0
3.0,100.0,0
7.5,76.5,1
4.5,74.4,1
4.5,71.4,0
5.0,75.4,0
6.5,86.2,1
6.5,91.0,1
5.5,79.8,1
1.5,74.3,0
3.0,72.9,0
6.0,71.0,1
3.0,75.8,0
4.5,72.7,1
5.0,89.0,1
3.5,60.4,0
1.5,61.9,0
6.5,83.5,1
6.5,69.2,1
6.5,73.0,1
5.0,85.8,1
3.0,83.2,0
5.5,76.2,1
1.5,65.2,0
6.0,65.5,1
1.5,84.8,0
3.0,79.1,0
5.0,75.0,0
5.5,73.8,1
3.5,88.1,0
4.0,100.0,1
2.0,80.6,0
10.0,90.7,1
3.0,86.8,0
5.5,70.5,0
6.0,70.4,1
1.0,74.5,0
5.0,77.0,0
7.0,94.5,1
0.5,89.2,0
6.5,58.9,1
7.0,63.8,1
4.0,70.4,0
6.0,80.5,1
5.0,65.6,0
2.0,77.2,0
4.0,84.0,0
6.0,90.2,1
8.0,81.6,1
5.5,54.5,0
9.5,99.1,1
4.0,73.2,0
3.0,58.7,0
3.5,88.7,0
4.0,70.7,0
3.5,60.3,0
7.5,81.5,1
4.5,69.4,0
3.5,74.0,0
5.0,56.8,0
4.0,86.0,1
4.5,68.0,0
6.0,79.4,1
5.5,76.0,1
3.5,81.4,1
1.0,89.3,0
7.0,56.3,1
6.5,75.4,1
6.5,86.5,1
2.5,82.5,0
6.5,97.4,1
1.0,67.0,0
8.5,52.2,1
5.5,100.0,1
9.0,85.3,1
2.0,86.7,0
4.0,83.8,0
3.0,91.7,1
5.0,66.8,0
4.0,70.5,0
7.0,57.7,0
5.0,66.0,0
8.5,60.2,1
6.0,88.4,1
8.5,90.5,1
6.5,89.7,1
6.0,72.0,1
7.5,51.5,0
2.0,58.3,0
7.0,44.3,0
2.5,81.5,0
4.0,76.2,0
5.5,91.5,1
4.5,67.0,0
4.5,58.0,0
6.5,80.9,1
6.0,90.9,1
7.0,69.5,1
7.0,81.4,1
7.5,60.8,1
0.5,59.8,0
4.0,70.3,0
3.0,83.0,0
4.0,77.0,0
3.5,63.5,0
4.5,56.9,0
1.5,88.7,0
5.0,80.2,1
6.0,78.7,1
3.5,64.7,0
4.5,82.9,1
7.0,79.1,1
4.5,58.4,0
4.5,78.5,1
0.0,67.8,0
4.0,85.1,1
9.0,99.6,1
7.5,91.6,1
5.5,95.0,1
5.0,73.7,1
4.0,94.6,0
8.5,84.0,1
6.0,91.3,1
4.5,73.3,0
6.0,61.4,0
3.5,98.9,1
5.0,57.0,1
3.0,90.7,0
4.5,89.4,1
6.0,52.2,0
6.0,87.4,1
6.5,71.0,1
4.5,88.1,1
3.5,68.8,0
0.0,61.6,0
4.0,79.9,0
5.0,66.5,0
